시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도 강릉시 견소동,202,202,0,송정한신,43.38,202111,23,"13,000",3,1997,경강로2539번길 8,,중개거래,강원 강릉시
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202111,5,"34,000",9,2005,경강로2539번길 22,,중개거래,강원 강릉시
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202111,9,"34,500",9,2005,경강로2539번길 22,,중개거래,강원 강릉시
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202111,11,"38,000",9,2005,경강로2539번길 22,,중개거래,강원 강릉시
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,202111,30,"25,000",11,2005,경강로2539번길 22,,중개거래,강원 강릉시
강원도 강릉시 교동,1983,1983,0,강릉교동롯데캐슬2단지,135.1008,202111,18,"55,700",5,2009,화부산로111번길 24,,직거래,-
강원도 강릉시 교동,1984,1984,0,강릉교동풍림아이원아파트,84.9964,202111,1,"40,500",16,2017,화부산로40번길 29,,중개거래,강원 강릉시
강원도 강릉시 교동,1984,1984,0,강릉교동풍림아이원아파트,84.9964,202111,5,"39,500",2,2017,화부산로40번길 29,,중개거래,강원 강릉시
강원도 강릉시 교동,1984,1984,0,강릉교동풍림아이원아파트,66.0388,202111,25,"32,000",6,2017,화부산로40번길 29,,직거래,-
강원도 강릉시 교동,797-1,797,1,강원,59.49,202111,16,"9,800",3,1985,화부산로131번길 6,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,202111,2,"23,400",14,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,202111,5,"25,000",14,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,202111,11,"22,500",1,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,202111,13,"23,000",9,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,84.84,202111,13,"34,950",12,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,202111,19,"20,500",1,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,202111,22,"21,000",1,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1767,1767,0,교동2현대,99.88,202111,6,"43,800",4,1999,교동광장로 138-15,,중개거래,강원 강릉시
강원도 강릉시 교동,1767,1767,0,교동2현대,84.97,202111,7,"34,500",4,1999,교동광장로 138-15,,중개거래,강원 강릉시
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,202111,6,"26,400",5,2002,교동광장로 138-12,,중개거래,강원 강릉시
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,202111,13,"29,000",7,2002,교동광장로 138-12,,중개거래,강원 강릉시
강원도 강릉시 교동,1766,1766,0,교동3주공,59.84,202111,15,"28,500",8,2002,교동광장로 138-12,,중개거래,강원 강릉시
강원도 강릉시 교동,357,357,0,교동이-편한세상,84.7155,202111,4,"39,500",15,2006,종합운동장길 92,,중개거래,강원 강릉시
강원도 강릉시 교동,318-4,318,4,매화임대,48.6,202111,14,"10,000",2,1987,율곡로2968번길 26,,중개거래,강원 강릉시
강원도 강릉시 교동,318-4,318,4,매화임대,48.6,202111,24,"10,900",4,1987,율곡로2968번길 26,,중개거래,강원 강릉시
강원도 강릉시 교동,1773,1773,0,부영1,49.92,202111,15,"17,800",15,1999,정원로 53-4,,중개거래,강원 강릉시
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,202111,20,"27,800",2,2001,하슬라로 124,,중개거래,강원 강릉시
강원도 강릉시 교동,1775,1775,0,부영6,84.9763,202111,5,"34,600",15,2003,정원로 53-9,,중개거래,강원 강릉시
강원도 강릉시 교동,1775,1775,0,부영6,59.987,202111,5,"23,000",15,2003,정원로 53-9,,중개거래,강원 강릉시
강원도 강릉시 교동,1775,1775,0,부영6,84.9763,202111,6,"33,500",3,2003,정원로 53-9,,중개거래,강원 강릉시
강원도 강릉시 교동,780,780,0,제일,80.95,202111,11,"8,250",1,1981,화부산로117번길 7,,중개거래,강원 강릉시
강원도 강릉시 금학동,07월 05일,7,5,금학상가,84.68,202111,19,"18,500",10,1992,금성로 20,,중개거래,강원 강릉시
강원도 강릉시 내곡동,616,616,0,강부2,41.18,202111,9,"6,000",4,1988,관대길 63,,중개거래,강원 강릉시
강원도 강릉시 내곡동,616,616,0,강부2,41.18,202111,9,"6,000",4,1988,관대길 63,20211210,중개거래,강원 강릉시
강원도 강릉시 내곡동,616,616,0,강부2,41.18,202111,10,"5,000",3,1988,관대길 63,,중개거래,강원 강릉시
강원도 강릉시 내곡동,616,616,0,강부2,24.795,202111,10,"4,000",3,1988,관대길 63,,중개거래,강원 강릉시
강원도 강릉시 내곡동,Jan-75,75,1,관동2,49.94,202111,29,"7,600",4,1992,남산초교길12번길 11,,중개거래,강원 강릉시
강원도 강릉시 내곡동,127,127,0,남산삼익,84.48,202111,6,"21,950",9,1993,남부로125번길 37,,중개거래,강원 강릉시
강원도 강릉시 내곡동,469,469,0,내곡동현대,84.99,202111,3,"24,600",11,1998,범일로 645,,중개거래,강원 강릉시
강원도 강릉시 내곡동,469,469,0,내곡동현대,59.84,202111,10,"18,850",15,1998,범일로 645,,중개거래,강원 강릉시
강원도 강릉시 내곡동,469,469,0,내곡동현대,59.84,202111,10,"18,850",15,1998,범일로 645,20211203,중개거래,강원 강릉시
강원도 강릉시 내곡동,623,623,0,내곡주공,39.69,202111,2,"9,500",2,1989,관대길16번길 6,,중개거래,강원 강릉시
강원도 강릉시 내곡동,623,623,0,내곡주공,39.69,202111,3,"9,000",1,1989,관대길16번길 6,,중개거래,강원 강릉시
강원도 강릉시 내곡동,623,623,0,내곡주공,46.68,202111,8,"13,000",4,1989,관대길16번길 6,,중개거래,강원 강릉시
강원도 강릉시 내곡동,623,623,0,내곡주공,39.69,202111,27,"9,800",3,1989,관대길16번길 6,,중개거래,강원 강릉시
강원도 강릉시 내곡동,476,476,0,내곡한라,59.97,202111,2,"17,300",5,1997,강변로 114,,중개거래,강원 강릉시
강원도 강릉시 내곡동,476,476,0,내곡한라,59.97,202111,12,"16,500",14,1997,강변로 114,,중개거래,"강원 강릉시, 서울 서초구"
강원도 강릉시 내곡동,476,476,0,내곡한라,59.97,202111,12,"16,500",14,1997,강변로 114,20211202,중개거래,"강원 강릉시, 서울 서초구"
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.3,202111,15,"25,500",3,2008,남산초교길11번길 12-5,,중개거래,강원 강릉시
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.98,202111,16,"23,500",12,2008,남산초교길11번길 12-5,,중개거래,강원 강릉시
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.98,202111,16,"23,500",12,2008,남산초교길11번길 12-5,20211202,중개거래,강원 강릉시
강원도 강릉시 노암동,618-1,618,1,고합,43.38,202111,25,"7,000",3,1996,남부로125번길 23,,직거래,-
